lot_number,날짜,학생ID,이름(가명),생년월일,성별,학력,전공,학원 성적(등수),경력,경력기간(M),과정명,상담내용 요약,상담교사,비고(위험/특이사항),근무인원,업종분류,"구인구분(신입,경력)",구인기술,근무지,급여,기술스택,복리후생,필수조건
2,2025-09-24 13:00,S0924016,최*진,2004-10-07,여,고졸,IT 비전공,6,없음,0,풀스택 웹개발(React+Node),"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 근무지는 수도권로 고려 중. 희망 직무는 백엔드(Node)이며, 교육과정에서 습득한 스택(React, TypeScript, Node/Nest, PostgreSQL)을 활용해 헬스케어 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 복리후생은 경조휴가, 교육비, 재택근무 제공 시 긍정적으로 평가한다고 언급함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",박지훈,,0,헬스케어,신입,백엔드(Node),수도권,,"React, TypeScript, Node/Nest, PostgreSQL","경조휴가, 교육비, 재택근무",
2,2025-09-26 9:00,S0926030,권*마,2004-03-28,남,초대졸,IT 비전공,9,없음,0,게임개발(Unity),"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 수도권로 고려 중. 희망 직무는 툴/에디터 개발이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 교육비, 건강검진 제공 시 긍정적으로 평가한다고 언급함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",최유진,,5,,신입,툴/에디터 개발,수도권,3000,"Unity C#, Addressables, Git","교육비, 건강검진",
2,2025-09-29 9:00,S0929047,장*태,1993-12-16,남,석사,IT 비전공,14,없음,0,데이터 시각화 반,"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 10명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 BI 개발자이며, 교육과정에서 습득한 스택(Python(판다스), SQL, Tableau/Power BI)을 활용해 커머스 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 비전공과 경력 공백으로 실무에서 뒤처질까 걱정하며, 현재 프로젝트가 채용 기준에 어느 정도 부합하는지 반복적으로 확인함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",정다현,,10,커머스,신입,BI 개발자,지역 무관,,"Python(판다스), SQL, Tableau/Power BI",,
2,2025-09-30 9:00,S0930044,권*은,2006-05-16,남,대졸,IT 비전공,3,없음,0,데이터 시각화 반,"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 수도권로 고려 중. 희망 직무는 데이터 애널리스트이며, 교육과정에서 습득한 스택(Python(판다스), SQL, Tableau/Power BI)을 활용해 핀테크 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",박지훈,주의(출결),5,핀테크,신입,데이터 애널리스트,수도권,3000,"Python(판다스), SQL, Tableau/Power BI",,업종분류
2,2025-09-30 13:30,S0930019,권*지,1994-03-12,남,고졸,IT 비전공,7,없음,0,풀스택 웹개발(React+Node),"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 근무지는 수도권로 고려 중. 희망 직무는 백엔드(Node)이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",이선영,관심(심리),0,,신입,백엔드(Node),수도권,3500,"React, TypeScript, Node/Nest, PostgreSQL",,
3,2025-10-04 9:00,S1004018,이*진,2005-08-04,남,초대졸,IT 비전공,4,없음,0,게임개발(Unity),"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지방 가능로 고려 중. 희망 직무는 클라이언트 프로그래머이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. '내가 개발을 직업으로 해도 될까'라는 자기 효능감 문제를 자주 언급해, 학원 내 성취 경험과 강점 기반으로 자기소개를 구성해 보도록 코칭함. 이전 직장의 과도한 야근 경험으로 워라밸과 조직 문화를 매우 중요하게 보고 있으며, 이런 기준을 지키면서도 현실적으로 지원 가능한 회사를 찾고자 함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",최유진,고위험(중도이탈 우려),5,,신입,클라이언트 프로그래머,지방 가능,3000,"Unity C#, Addressables, Git",,
3,2025-10-06 14:45,S1006017,권*우,1994-09-25,여,초대졸,IT 비전공,16,없음,0,데이터 시각화 반,"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 10명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 데이터 애널리스트이며, 교육과정에서 습득한 스택(Python(판다스), SQL, Tableau/Power BI)을 활용해 커머스 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",박지훈,고위험(중도이탈 우려),10,커머스,신입,데이터 애널리스트,지역 무관,,"Python(판다스), SQL, Tableau/Power BI",,
3,2025-10-09 9:00,S1009008,권*훈,1995-05-03,남,초대졸,IT 비전공,3,없음,0,메타버스 반,"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 20명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 디지털 트윈 개발이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 비전공과 경력 공백으로 실무에서 뒤처질까 걱정하며, 현재 프로젝트가 채용 기준에 어느 정도 부합하는지 반복적으로 확인함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",박지훈,,20,,신입,디지털 트윈 개발,지역 무관,3000,"Unity/Unreal, WebGL, Blender",,
3,2025-10-10 9:00,S1010005,임*바,2005-04-03,남,고졸,IT 비전공,10,없음,0,메타버스 반,"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 10명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 3D 콘텐츠 개발이며, 교육과정에서 습득한 스택(Unity/Unreal, WebGL, Blender)을 활용해 콘텐츠/엔터 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 복리후생은 식대, 사내스터디 제공 시 긍정적으로 평가한다고 언급함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",이선영,,10,콘텐츠/엔터,신입,3D 콘텐츠 개발,지역 무관,,"Unity/Unreal, WebGL, Blender","식대, 사내스터디",업종분류
3,2025-10-10 9:00,S1010036,권*지,1993-01-27,남,초대졸,IT 비전공,3,없음,0,풀스택 웹개발(React+Node),"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 20명 이상 규모의 조직을 선호한다고 언급함. 희망 직무는 프론트엔드이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 경조사비, 건강검진 제공 시 긍정적으로 평가한다고 언급함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 비전공과 경력 공백으로 실무에서 뒤처질까 걱정하며, 현재 프로젝트가 채용 기준에 어느 정도 부합하는지 반복적으로 확인함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",정다현,,20,,신입,프론트엔드,,3500,"React, TypeScript, Node/Nest, PostgreSQL","경조사비, 건강검진",
3,2025-10-11 16:45,S1011002,장*윤,1992-12-18,여,대졸,IT 비전공,1,없음,0,메타버스 반,"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 희망 직무는 3D 콘텐츠 개발이며, 교육과정에서 습득한 스택(Unity/Unreal, WebGL, Blender)을 활용해 교육 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 식대, 사내스터디 제공 시 긍정적으로 평가한다고 언급함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",이선영,관심(심리),5,교육,신입,3D 콘텐츠 개발,,3000,"Unity/Unreal, WebGL, Blender","식대, 사내스터디",복리후생
3,2025-10-16 15:15,S1016023,김*진,1999-07-12,남,고졸,IT 비전공,5,없음,0,풀스택 웹개발(React+Node),"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 희망 직무는 풀스택 주니어이며, 교육과정에서 습득한 스택(React, TypeScript, Node/Nest, PostgreSQL)을 활용해 B2B SaaS 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 컨퍼런스참가비, 자율출퇴근제, 교육비 제공 시 긍정적으로 평가한다고 언급함. 코드 리뷰나 테스트에서 실수하면 바로 탈락할 것 같다는 압박이 있어, 실제 평가 방식과 개선 프로세스를 안내하며 불안을 완화시킴. 비전공과 경력 공백으로 실무에서 뒤처질까 걱정하며, 현재 프로젝트가 채용 기준에 어느 정도 부합하는지 반복적으로 확인함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",최유진,주의(출결),0,B2B SaaS,신입,풀스택 주니어,,3500,"React, TypeScript, Node/Nest, PostgreSQL","컨퍼런스참가비, 자율출퇴근제, 교육비",
3,2025-10-17 17:45,S1017040,최*민,1992-03-09,남,고졸,IT 비전공,11,없음,0,게임개발(Unity),"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 근무지는 수도권로 고려 중. 희망 직무는 툴/에디터 개발이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 재택근무, 컨퍼런스참가비, 운동비 제공 시 긍정적으로 평가한다고 언급함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",정다현,고위험(중도이탈 우려),0,,신입,툴/에디터 개발,수도권,3000,"Unity C#, Addressables, Git","재택근무, 컨퍼런스참가비, 운동비",
3,2025-10-18 16:30,S1018003,문*가,2006-06-21,남,대졸,IT 비전공,2,없음,0,게임개발(Unity),"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 희망 직무는 툴/에디터 개발이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 컨퍼런스참가비, 사내스터디, 식대 제공 시 긍정적으로 평가한다고 언급함. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",박지훈,관심(심리),0,,신입,툴/에디터 개발,,3000,"Unity C#, Addressables, Git","컨퍼런스참가비, 사내스터디, 식대",
3,2025-10-19 9:00,S1019006,정*수,1999-12-08,여,초대졸,IT 비전공,16,없음,0,데이터 시각화 반,"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 50명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지방 가능로 고려 중. 희망 직무는 BI 개발자이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",이선영,,50,,신입,BI 개발자,지방 가능,2500,"Python(판다스), SQL, Tableau/Power BI",,
3,2025-10-19 17:45,S1019001,조*람,2006-12-19,여,고졸,IT 비전공,6,없음,0,게임개발(Unity),"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 희망 직무는 클라이언트 프로그래머이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 비전공과 경력 공백으로 실무에서 뒤처질까 걱정하며, 현재 프로젝트가 채용 기준에 어느 정도 부합하는지 반복적으로 확인함. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",박지훈,주의(출결),0,,신입,클라이언트 프로그래머,,3500,"Unity C#, Addressables, Git",,
3,2025-10-20 14:00,S1020025,권*지,1996-05-14,남,대졸,IT 비전공,2,없음,0,데이터 시각화 반,"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지방 가능로 고려 중. 희망 직무는 BI 개발자이며, 교육과정에서 습득한 스택(Python(판다스), SQL, Tableau/Power BI)을 활용해 커머스 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 식대 제공 시 긍정적으로 평가한다고 언급함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",박지훈,,5,커머스,신입,BI 개발자,지방 가능,3000,"Python(판다스), SQL, Tableau/Power BI",식대,근무인원
3,2025-10-21 16:45,S1021031,권*수,2003-11-10,남,고졸,IT 비전공,13,없음,0,데이터 시각화 반,"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 근무지는 지역 무관로 고려 중. 희망 직무는 BI 개발자이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 교육비 제공 시 긍정적으로 평가한다고 언급함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",정다현,,0,,신입,BI 개발자,지역 무관,3500,"Python(판다스), SQL, Tableau/Power BI",교육비,
3,2025-10-22 14:15,S1022011,신*나,2003-12-06,남,고졸,IT 비전공,18,없음,0,메타버스 반,"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 희망 직무는 리얼타임 그래픽스이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 경조사비 제공 시 긍정적으로 평가한다고 언급함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",최유진,,5,,신입,리얼타임 그래픽스,,3000,"Unity/Unreal, WebGL, Blender",경조사비,
3,2025-10-24 12:15,S1024049,장*원,1994-03-11,남,초대졸,IT 비전공,1,편의점/서비스직,24,데이터 시각화 반,"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 근무지는 지역 무관로 고려 중. 희망 직무는 데이터 시각화 프론트엔드이며, 교육과정에서 습득한 스택(Python(판다스), SQL, Tableau/Power BI)을 활용해 커머스 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 도서구입비, 재택근무, 경조사비 제공 시 긍정적으로 평가한다고 언급함. 이전 직장의 과도한 야근 경험으로 워라밸과 조직 문화를 매우 중요하게 보고 있으며, 이런 기준을 지키면서도 현실적으로 지원 가능한 회사를 찾고자 함. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",이선영,,0,커머스,신입,데이터 시각화 프론트엔드,지역 무관,3500,"Python(판다스), SQL, Tableau/Power BI","도서구입비, 재택근무, 경조사비",
3,2025-10-30 9:00,S1030026,임*하,2004-04-21,여,고졸,IT 비전공,6,없음,0,풀스택 웹개발(React+Node),"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 20명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지방 가능로 고려 중. 희망 직무는 프론트엔드이며, 교육과정에서 습득한 스택(React, TypeScript, Node/Nest, PostgreSQL)을 활용해 헬스케어 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 복리후생은 사내스터디, 경조사비, 운동비 제공 시 긍정적으로 평가한다고 언급함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 이전 직장의 과도한 야근 경험으로 워라밸과 조직 문화를 매우 중요하게 보고 있으며, 이런 기준을 지키면서도 현실적으로 지원 가능한 회사를 찾고자 함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",최유진,,20,헬스케어,신입,프론트엔드,지방 가능,,"React, TypeScript, Node/Nest, PostgreSQL","사내스터디, 경조사비, 운동비",근무인원
3,2025-11-01 9:00,S1101012,정*유,2004-10-15,남,고졸,IT 비전공,8,없음,0,게임개발(Unity),"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 50명 이상 규모의 조직을 선호한다고 언급함. 근무지는 수도권로 고려 중. 희망 직무는 툴/에디터 개발이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 복리후생은 재택근무, 자율출퇴근제, 스톡옵션 제공 시 긍정적으로 평가한다고 언급함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",최유진,관심(심리),50,,신입,툴/에디터 개발,수도권,,"Unity C#, Addressables, Git","재택근무, 자율출퇴근제, 스톡옵션",
3,2025-11-02 9:00,S1102045,문*우,1994-11-11,여,고졸,IT 비전공,1,없음,0,게임개발(Unity),"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 50명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 게임 플레이 프로그래머이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 운동비, 교육비 제공 시 긍정적으로 평가한다고 언급함. 이전 직장의 과도한 야근 경험으로 워라밸과 조직 문화를 매우 중요하게 보고 있으며, 이런 기준을 지키면서도 현실적으로 지원 가능한 회사를 찾고자 함. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",최유진,,50,,신입,게임 플레이 프로그래머,지역 무관,2500,"Unity C#, Addressables, Git","운동비, 교육비",복리후생
3,2025-11-02 17:45,S1102014,한*예,1995-12-02,남,고졸,IT 비전공,9,없음,0,게임개발(Unity),"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 10명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지방 가능로 고려 중. 희망 직무는 툴/에디터 개발이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 코드 리뷰나 테스트에서 실수하면 바로 탈락할 것 같다는 압박이 있어, 실제 평가 방식과 개선 프로세스를 안내하며 불안을 완화시킴. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",이선영,,10,,신입,툴/에디터 개발,지방 가능,3000,"Unity C#, Addressables, Git",,
3,2025-11-06 9:00,S1106013,양*지,2000-04-03,남,고졸,IT 비전공,5,없음,0,풀스택 웹개발(React+Node),"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 희망 직무는 프론트엔드이며, 교육과정에서 습득한 스택(React, TypeScript, Node/Nest, PostgreSQL)을 활용해 헬스케어 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 복리후생은 식대 제공 시 긍정적으로 평가한다고 언급함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",박지훈,,0,헬스케어,신입,프론트엔드,,,"React, TypeScript, Node/Nest, PostgreSQL",식대,
